num,dt,id,imgURL,imgFile,episode,sz,typ,p,accx,accy,accz,magx,magy,magz,red,green,blue,lum,tem,g,lat,lon,latitude longitude,locInterpolated,alt,gs,herr,verr,exp,gain,rbal,gbal,bbal,xor,yor,zor,stags,tags
41,2014-03-04T11:15:16+0000,B00000043_21I4N2_20140304_111515,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000043_21I4N2_20140304_1115154.jpg,B00000043_21I4N2_20140304_1115154.jpg,1,4014,2,1,-0.003,-1.053,-0.109,-0.264,-0.473,-0.257,38749,54804,49019,65535,26.8,2,-33.8633,151.2218,-33.86330 151.22180,0,30.7,0.5,12.23,2.25,1,1.31,1.938,1,1,92.816,-89.12,306.89,0,
42,2014-03-04T11:15:50+0000,B00000044_21I4N2_20140304_111549,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000044_21I4N2_20140304_1115494.jpg,B00000044_21I4N2_20140304_1115494.jpg,1,4014,2,0,-0.011,-1.055,-0.057,-0.267,-0.473,-0.255,38427,55155,49100,65535,26.8,2,-33.86333,151.2218,-33.86333 151.22180,0,26.2,0.7,13.04,2.25,1,1.25,1.938,1,1,92.855,-89.06,306.7,0,
43,2014-03-04T11:16:24+0000,B00000045_21I4N2_20140304_111623,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000045_21I4N2_20140304_1116234.jpg,B00000045_21I4N2_20140304_1116234.jpg,1,4014,2,0,0.009,-0.993,-0.131,-0.266,-0.475,-0.255,38618,55139,49122,65535,26.8,2,-33.86331,151.22179,-33.86331 151.22179,0,23.8,0.2,9.25,2.1,1,1.31,1.938,1,1,92.94,-89,306.64,0,
44,2014-03-04T11:16:58+0000,B00000046_21I4N2_20140304_111657,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000046_21I4N2_20140304_1116574.jpg,B00000046_21I4N2_20140304_1116574.jpg,1,4014,2,0,0.033,-1.049,-0.065,-0.264,-0.475,-0.253,37168,53452,48003,65535,26.8,2,-33.86338,151.22181,-33.86338 151.22181,0,19.3,0.2,14.32,2.12,1,1.25,1.938,1,1,92.934,-89.01,306.6,0,
45,2014-03-04T11:17:32+0000,B00000047_21I4N2_20140304_111731,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000047_21I4N2_20140304_1117314.jpg,B00000047_21I4N2_20140304_1117314.jpg,1,4014,2,0,-0.043,-0.981,-0.029,-0.266,-0.473,-0.257,36747,53013,47685,65535,26.8,2,-33.86336,151.2218,-33.86336 151.22180,0,19.4,0.5,8.44,1.93,1,1.31,1.938,1,1,92.867,-89.04,306.76,0,
46,2014-03-04T11:18:06+0000,B00000048_21I4N2_20140304_111805,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000048_21I4N2_20140304_1118054.jpg,B00000048_21I4N2_20140304_1118054.jpg,1,4014,2,0,-0.01,-1.025,-0.025,-0.264,-0.473,-0.257,32197,46532,42870,65535,26.8,2,-33.86336,151.22179,-33.86336 151.22179,0,18.3,0.5,13.21,2.05,1,1.25,1.938,1,1,92.909,-89.07,306.69,0,
47,2014-03-04T11:18:40+0000,B00000049_21I4N2_20140304_111839,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000049_21I4N2_20140304_1118394.jpg,B00000049_21I4N2_20140304_1118394.jpg,1,4014,2,0,0.029,-1.042,-0.07,-0.266,-0.473,-0.257,33309,47931,43841,65535,26.8,2,-33.86338,151.22181,-33.86338 151.22181,0,16.7,0.2,12.62,2.05,1,1.25,1.938,1,1,92.902,-89.04,306.71,0,
48,2014-03-04T11:19:14+0000,B00000050_21I4N2_20140304_111913,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000050_21I4N2_20140304_1119134.jpg,B00000050_21I4N2_20140304_1119134.jpg,1,4014,2,0,0.009,-1.009,-0.118,-0.267,-0.473,-0.255,33169,47791,43820,65535,26.8,2,-33.86338,151.22181,-33.86338 151.22181,0,21.4,0.2,13.04,2.12,1,1.25,1.938,1,1,92.957,-89.01,306.62,0,
49,2014-03-04T11:19:48+0000,B00000051_21I4N2_20140304_111947,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000051_21I4N2_20140304_1119474.jpg,B00000051_21I4N2_20140304_1119474.jpg,1,4014,2,0,0.004,-0.997,-0.023,-0.267,-0.472,-0.257,29891,43287,40532,65535,26.8,2,-33.86334,151.22178,-33.86334 151.22178,0,24.1,0.4,11.13,2.18,1,1.25,1.938,1,1,92.92,-89,306.59,0,
50,2014-03-04T11:20:23+0000,B00000052_21I4N2_20140304_112022,https://googledrive.com/host/0ByrQ8FRGctRobVZGM3RNbng0UUE/B00000052_21I4N2_20140304_1120224.jpg,B00000052_21I4N2_20140304_1120224.jpg,1,4014,2,0,0.033,-1.041,-0.032,-0.263,-0.473,-0.258,32162,46383,42727,65535,26.6,2,-33.86336,151.22181,-33.86336 151.22181,0,25.1,0.5,14.93,2.35,1,1.25,1.938,1,1,92.867,-88.94,306.6,0,
